Name,Description
GREEN LIFE,social services rural andhra pradesh adults children girl child healthcare workers hiv medical practioners mentally challenged orphans patients physically challenged rural poor students tribals women youth
Gujarat Voluntary Health Association,health urban rural all india adults children chronically ill construction workers girl child healthcare workers mentally challenged ngos patients physically challenged street children youth
Jagriti,social services rural all india women
JAN KALYAN SANSTHA,social services urban rural uttar pradesh adults farmers farm labourers rural poor tribals women
KARTIK SHIKSHAN SANSTHAN,social services urban rural all india accident victims adults beggars blood donors children chronically ill dalits disaster affected elderly ethnic groups girl child healthcare workers hiv medical practioners mentally challenged migrants ngos orphans patients physically challenged rural poor street children students tribals women youth
LOK SEVA TRUST,social services rural gujarat adults artisans tribals women youth
Lokdeep Mutual Benefit Trust,social services urban maharashtra women
Mico Employees Forum,social services rural maharashtra adults children disaster affected girl child healthcare workers medical practioners patients physically challenged street children students tribals women youth
New Life Social Welfare Centre,social services urban rural tamil nadu adolescents adults children women
Newell Organization,social services urban rural andhra pradesh children elderly ethnic groups girl child rural poor urban poor women youth
Noor E Falah,social services urban rural all india children girl child ngos rural poor street children students women youth
OSCAR(Organisation for Social Change Awareness and Responsibility) Foundation,education and research urban delhi adolescents children girl child ngos students volunteers youth
People Society For Justice,social services urban rural uttar pradesh accident victims adults beggars blood donors children dalits disaster affected elderly farmers farm labourers girl child healthcare workers legal workers medical practioners mentally challenged ngos patients physically challenged rural poor sportspersons street children students women youth
Rachnatmak Seva Sansthan,social services urban maharashtra adolescents adults urban poor women
Rangvedh Bahuddeshiya Sanstha Amravati,social services urban rural maharashtra accident victims adolescents adults animal lovers artisans artists beggars blood donors children disaster affected displaced persons farmers farm labourers firemen freedom fighters girl child healthcare workers hiv homeless legal workers lesbian gays bisexuals transgender medical practioners mentally challenged migrants ngos organ donors orphans patients physically challenged plants policemen rickshawallahs drivers rural poor slum dwellers sportspersons street children students teachers tribals truckers urban poor volunteers war victims weavers women youth
Rural Foundation,education and research urban rural maharashtra adults children elderly farmers farm labourers girl child ngos rural poor street children students teachers tribals volunteers women youth
Sadvichar Parivar,social services urban rural gujarat adolescents adults children disaster affected domestic workers elderly girl child patients physically challenged students teachers urban poor women youth
Sakal Social Foundation,social services urban rural maharashtra adolescents adults artists blood donors children disaster affected elderly farmers farm labourers girl child healthcare workers medical practioners orphans patients physically challenged plants policemen rural poor street children students tribals urban poor volunteers women youth
SAMAJOTTHAN,health urban rural uttar pradesh animal lovers animals birds farmers farm labourers
Sanjivani Foundation,education and research urban rural gujarat adults children students tribals women youth
Sankalp,social services urban rural maharashtra accident victims adults blood donors children elderly ethnic groups girl child healthcare workers medical practioners patients sportspersons street children students tribals women youth
SARAL,social services urban rural gujarat adolescents adults ngos women youth
Sarvajan Rozgar Sanstha,social services urban rural all india accident victims adults beggars blood donors children disaster affected elderly girl child healthcare workers medical practioners ngos patients physically challenged rural poor street children students women youth
"SHABARI BAHUUDDEISHIYA MANDAL, SURWANI",social services urban rural maharashtra accident victims adolescents adults animal lovers artisans beggars blood donors construction workers dalits domestic workers factory workers freedom fighters girl child healthcare workers hiv homeless mentally challenged migrants orphans patients physically challenged plants porters volunteers war victims weavers women youth
Shiksha Seva Foundation,social services rural maharashtra children commercial sex workers rural poor women youth
Shri Jagruti Bahuudeshiya Vikash Shikshan Sanstha,social services urban rural maharashtra accident victims adults children elderly girl child healthcare workers medical practioners mentally challenged patients physically challenged sportspersons street children students women youth
SHRI KALUBHAI KATARIYA MEMORIAL TRUST,social services urban rural all india adolescents adults artisans children rural poor women youth
Shri Vaghaldhara Vibhag Kelavani Mandal,education and research urban rural gujarat tribals
Social Health And Education Development Organization Timarni Samiti,education and research urban rural madhya pradesh adolescents adults beggars children dalits farmers farm labourers girl child hiv juvenile lesbian gays bisexuals transgender mentally challenged migrants orphans rural poor street children students tribals urban poor women youth
